collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;class
за раз;1037;440;1;0.043478260869565216;1;1.3617278360175928;-0.009406977738234845;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6678028638855533;0.6678028638855533;0.3705354063487246;0.0009643201542912247;-9.52845411076479;1.3795577137969567e-06;0;0.00819672131147541;0;0;0.00411522633744856;0;0;0;1.0;1;-90837.65591035962;-76852.48303236673;1;0
за счёт;1037;187;120;0.6521739130434783;2;22.2763892354294;21.993079678000633;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.809158713131094;22.622939904348133;10.930029803142524;0.11571841851494696;-2.3504972470841334;1.3795577137969567e-06;0;0;0;0;0.00023820867079561695;0;0;0;1.0;1;-19493.483893617482;-3958.067795658372;4;1
задолго до;3;922;3;0.13043478260869565;2;2.6538197438937914;-0.08404719628677548;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9.6187398157941;12.788664817236413;1.7298477217126846;0.0032537960954446853;-7.268347054682518;2.7591154275939134e-06;0;0;0;0;0.0011926058437686344;0;0;0;1.414213562373095;0;-50465.36439464424;-43043.9872777848;3;1
заниматься проблема;29;709;0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;2.7591154275939134e-06;0;0;0;0;0.015151515151515152;0;0;0;1.414213562373095;1;-128538.25166400564;-145294.0719989594;1;0
заслуживать внимание;8;230;2;0.08695652173913043;1;2.1213956807072236;-0.037491097279907404;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.621872705279063;11.621872705279063;1.412418652282481;0.008695652173913044;-5.894817763307944;2.7591154275939134e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.414213562373095;1;-45517.77965007127;-40900.03388846984;2;0
значительно большой;99;722;5;0.13043478260869565;2;4.423032906489652;0.8774883543857603;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.66407920414402;10.307935393918745;2.1919691275278694;0.006925207756232687;-6.359310316890443;2.7591154275939134e-06;0;0.05970149253731343;0;0;0.03076923076923077;0;0;0;1.414213562373095;1;-51059.074563993;-39415.758465097955;3;1
значительно выше;99;301;3;0.13043478260869565;2;2.6538197438937914;-0.08404719628677548;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6.189348960105283;9.359273961547595;1.7083162611376805;0.009966777408637873;-6.058893689053568;1.3795577137969567e-06;0;0.08333333333333333;0;0;0.043478260869565216;0;0;0;1.0;0;-50861.17117421008;-43208.906769270565;3;1
значительно ниже;99;296;1;0.043478260869565216;2;1.3617278360175928;-0.009406977738234845;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4.6285527705148795;4.6285527705148795;0.9595734407548939;0.0033783783783783786;-7.625708843064466;1.3795577137969567e-06;0;0;0;0;0.024390243902439025;0;0;0;1.0;0;-72432.6406605482;-64978.2796453916;2;1
значительно поздний;99;97;0;0.0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.024390243902439025;0;0;0;1.0;1;-129033.01013846292;-145788.83047341672;1;1
значительный количество;70;567;4;0.08695652173913043;2;4.242791361414447;1.055249741043292;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.190874814336243;10.190874814336244;1.9726226771696993;0.007054673721340388;-6.3151495622563;1.3795577137969567e-06;0;0.18181818181818182;0;0;0.1;0;0;0;1.0;0;-50762.21947931861;-41724.63134589867;3;1
из-за отсутствие;0;172;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;2.7591154275939134e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.414213562373095;1;-129527.76861292022;-146283.588947874;1;0
иметь возможность;2159;954;54;0.391304347826087;2;22.00420763522647;19.64828140458454;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.24825727435889;15.758032278685828;6.961796083099419;0.025011579434923575;-4.849202359305711;2.7591154275939134e-06;0;0.2857142857142857;0;0;0.16666666666666666;0;0;0;1.414213562373095;1;-35721.561855816806;-14183.076267775832;4;1
иметь значение;2159;3760;63;0.43478260869565216;2;22.78885366910835;20.960911992650765;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.49197820513585;14.446538052135683;6.526308928078728;0.01675531914893617;-5.553857817944798;1.3795577137969567e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.0;1;-42054.47032887021;-18141.144063434203;4;1
иметь применение;2159;367;1;0.043478260869565216;1;1.3617278360175928;-0.009406977738234845;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.12842102464227947;-0.12842102464227947;-0.09309669320016001;0.0004631773969430292;-10.302638923787553;2.7591154275939134e-06;0;0;0;0;0.015151515151515152;0;0;0;1.414213562373095;1;-139719.79318674054;-130286.39827375475;1;0
иметь значение;2159;3760;63;0.43478260869565216;2;22.78885366910835;20.960911992650765;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.49197820513585;14.446538052135683;6.526308928078728;0.01675531914893617;-5.553857817944798;1.3795577137969567e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.0;1;-42054.47032887021;-18141.144063434203;4;1
испытывать недостаток;3;179;0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;2.7591154275939134e-06;0;0;0;0;0.1;0;0;0;1.414213562373095;1;-130022.52708737753;-146778.34742233128;1;0
как будто;4143;26;16;0.21739130434782608;1;10.604125306905186;5.805008358750403;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6.750462933103139;14.75046293310314;3.9628492005463047;0.003861935795317403;-7.025485656808389;1.3795577137969567e-06;0;0;0;0;0.008771929824561403;0;0;0;1.0;0;-44924.06948072252;-30675.025416352382;2;0
как бы;4143;809;18;0.21739130434782608;1;11.929640970268334;7.152989166196852;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1.9608317602565664;10.30068176314119;3.1527898144962423;0.004344677769732078;-7.1038705977719525;1.3795577137969567e-06;0;0.017391304347826087;0;0;0.008771929824561403;0;0;0;1.0;0;-61053.1957480304;-39745.597448069486;4;0
как таковой;4143;47;5;0.17391304347826086;2;3.798339223448153;0.2527946713442608;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.218241894453956;8.86209808422868;2.115933500242699;0.0012068549360366883;-8.710806433699352;2.7591154275939134e-06;0;0;0;0;0.0005743825387708214;0;0;0;1.0;1;-70750.4618473934;-55412.949139217206;4;1
как только;4143;1877;51;0.5217391304347826;1;14.409876088468371;11.856303507303021;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.2491150583848527;13.593965742327844;5.639206864880905;0.012309920347574221;-5.883122429675569;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;0;-45814.634734745654;-20944.775418692217;4;0
короче говорить;25;273;3;0.08695652173913043;1;3.1820935210608354;0.44422658088026856;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8.315711926250017;11.48563692769233;1.7266147768499636;0.01098901098901099;-5.634206019741005;2.7591154275939134e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0145768306979255;0;-42450.27710843604;-36777.04660132571;2;0
кроме тот;468;4147;313;0.6956521739130435;2;49.33125810220211;49.3310909363801;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.869164551666691;23.44920224553193;17.540468151192265;0.075476247890041;-2.882096085600518;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;1;-21274.614401663748;-3298.38982971531;4;1
любой способ;824;649;1;0.043478260869565216;1;1.3617278360175928;-0.009406977738234845;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.43878756104108163;0.43878756104108163;0.26224564404651873;0.0012135922330097086;-9.524541715035848;1.3795577137969567e-06;0;0.08333333333333333;0;0;0.043478260869565216;0;0;0;1.0;0;-90441.8491307938;-75862.96608345212;3;0
любой средство;824;629;2;0.043478260869565216;0;2.7234556720351857;0.5645688940480547;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4839460221609309;3.483946022160931;0.9086186056748417;0.0024271844660194173;-8.504818987632841;1.3795577137969567e-06;0;0.08333333333333333;0;0;0.043478260869565216;0;0;0;1.0;0;-82921.52031904289;-68936.34744104998;2;0
