collocation,frequency1,frequency2,frequency,doc_freq,Words_in_dict,TF_IDF,TF-RIDF,NOUN_l,ADJF_l,ADJS_l,COMP_l,VERB_l,INFN_l,PRTF_l,GRND_l,NUMR_l,ADVB_l,NPRO_l,PRED_l,PREP_l,CONJ_l,PRCL_l,INTJ_l,None_l,NOUN_1,ADJF_1,ADJS_1,COMP_1,VERB_1,INFN_1,PRTF_1,GRND_1,NUMR_1,ADVB_1,NPRO_1,PRED_1,PREP_1,CONJ_1,PRCL_1,INTJ_1,None_1,NOUN_2,ADJF_2,ADJS_2,COMP_2,VERB_2,INFN_2,PRTF_2,GRND_2,NUMR_2,ADVB_2,NPRO_2,PRED_2,PREP_2,CONJ_2,PRCL_2,INTJ_2,None_2,NOUN_r,ADJF_r,ADJS_r,COMP_r,VERB_r,INFN_r,PRTF_r,GRND_r,NUMR_r,ADVB_r,NPRO_r,PRED_r,PREP_r,CONJ_r,PRCL_r,INTJ_r,None_r,MI,MI3,T-score,minimum-sens,log_dice,raw_freq,log_likehood,dice,chi_sq,pmi,jaccard,phi,mi_like,poison_stirling,student_t,Words Class,MY_COMBINATION,ALLA_COMBINATION,collections_kolichestvo,weirdness,cw,dw,otnosit_chastota,class
в каждый,27729,2119,200,0.6521739130434783,1,37.12731539238233,37.11278166916745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3029431051443299,16.59065548469378,8.410348657879053,0.0072126654405135415,-6.221490455042055,1.3795577137969567e-06,0,0.2857142857142857,0,0,0.16666666666666666,0,0,0,1.0,1,-342471.81601934065,-570786.3600322345,4,2.4339598017974233,133.18720266092024,31.700325972184608,1,1
быть записать,5572,208,39,0.5217391304347826,1,11.019317008828754,7.586033018923833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.608345714343342,15.17915015206784,5.988973211630557,0.006999282124910265,-6.211451558525793,2.7591154275939134e-06,0,0.18181818181818182,0,0,0.1,0,0,0,1.414213562373095,1,0.0,0.0,4,3.3199145058329256,112.21593830878697,30.500582354557746,1,0
в она,27729,2337,188,0.6521739130434783,1,34.899676468839395,34.876655793820674,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0724016206365867,16.181579323991862,7.191215014130105,0.00677990551408273,-6.321256471473096,1.3795577137969567e-06,0,0.0011911852293031567,0,0,0.0005959475566150178,0,0,0,1.0,1,-320801.39483811107,-534668.9913968517,4,0.39583429302587847,124.5079086810521,9.964141884548036,0,0
в связь,27729,703,51,0.5217391304347826,1,14.409876088468371,11.856303507303021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9232992506407353,12.268149934583727,3.3757405652902777,0.0018392296873309532,-8.122802624057183,1.3795577137969567e-06,0,0.01834862385321101,0,0,0.009259259259259259,0,0,0,1.0,1,-41460.76015952145,-69101.26693253576,4,23.303998933927467,138.55513919545152,70.75986671785758,1,1
с это,10637,5940,106,0.6086956521739131,1,22.85357883597161,22.39254589731907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28223229698437113,13.73807320611077,1.8293517401300654,0.009965215756322272,-6.288974865671922,1.3795577137969567e-06,0,0.07692307692307693,0,0,0.04,0,0,0,1.0,1,-320306.63636365376,-533844.3939394229,4,1.429781518134619,133.27834284229124,24.34749588200367,1,0
показать на,303,8849,57,0.34782608695652173,1,26.14235739446201,23.973399170120352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9457800726569676,15.61156010098645,7.059898528310387,0.00644140580856594,-6.326981322613648,1.3795577137969567e-06,0,0,0,0,0.015151515151515152,0,0,0,1.0,1,-476947.16937683383,-794911.9489613897,4,2.0383224332069165,122.90671997091569,26.92837515500276,1,1
в некоторый,27729,1704,237,0.6956521739130435,1,37.35306124671534,37.34961442731593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8622884164141957,17.639774914210715,11.160622537691793,0.008547008547008548,-5.956403729149073,1.3795577137969567e-06,0,0,0,0,0.0136986301369863,0,0,0,1.0,1,-136751.24233999677,-227918.73723332793,4,4.566885465461265,135.49243910552357,41.95586094159778,1,0
рассматривать как,234,4143,33,0.4782608695652174,1,10.571059978359138,6.672430229501544,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.624932051019281,14.713720289736187,5.511746179449968,0.007965242577842143,-6.051332549280594,2.7591154275939134e-06,0,0.029850746268656716,0,0,0.015151515151515152,0,0,0,1.414213562373095,1,-327629.06178562174,-546048.4363093696,4,62.48329659562912,129.14533671228517,78.24330691170766,1,1
в этот,27729,3745,358,0.8260869565217391,1,29.70477615318548,29.70474912733603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3213205616599182,18.28895211618843,11.349344976278603,0.01291067113851924,-5.458057143280811,1.3795577137969567e-06,0,0.07692307692307693,0,0,0.04,0,0,0,1.0,1,-326045.83466735843,-543409.7244455974,4,0.7109988233593612,130.71533807962157,15.755321268916035,0,0
находиться в,563,27729,318,0.7391304347826086,1,41.74669485530344,41.74655820255382,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.8841466309459007,20.509912541514613,16.624827108009708,0.011468138050416531,-5.475223590680889,1.3795577137969567e-06,0,0.029850746268656716,0,0,0.015151515151515152,0,0,0,1.0,1,-107362.58895723333,-178937.64826205556,4,1.5789970007981868,134.10333932209812,25.821052872862975,1,1
