collocation,frequency1,frequency2,frequency,doc_freq,Words_in_dict,TF_IDF,TF-RIDF,NOUN_l,ADJF_l,ADJS_l,COMP_l,VERB_l,INFN_l,PRTF_l,GRND_l,NUMR_l,ADVB_l,NPRO_l,PRED_l,PREP_l,CONJ_l,PRCL_l,INTJ_l,None_l,NOUN_1,ADJF_1,ADJS_1,COMP_1,VERB_1,INFN_1,PRTF_1,GRND_1,NUMR_1,ADVB_1,NPRO_1,PRED_1,PREP_1,CONJ_1,PRCL_1,INTJ_1,None_1,NOUN_2,ADJF_2,ADJS_2,COMP_2,VERB_2,INFN_2,PRTF_2,GRND_2,NUMR_2,ADVB_2,NPRO_2,PRED_2,PREP_2,CONJ_2,PRCL_2,INTJ_2,None_2,NOUN_r,ADJF_r,ADJS_r,COMP_r,VERB_r,INFN_r,PRTF_r,GRND_r,NUMR_r,ADVB_r,NPRO_r,PRED_r,PREP_r,CONJ_r,PRCL_r,INTJ_r,None_r,MI,MI3,T-score,minimum-sens,log_dice,raw_freq,log_likehood,dice,chi_sq,pmi,jaccard,phi,mi_like,poison_stirling,student_t,Words Class,MY_COMBINATION,ALLA_COMBINATION,collections_kolichestvo,weirdness,cw,dw,otnosit_chastota,class
рассмотреть пример,688,1599,38,0.34782608695652173,0,17.428238262974673,13.917366961652817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.646071291484594,15.141926318371764,5.918215743911483,0.023764853033145718,-4.911313136968087,1.3795577137969567e-06,0,0,0,0,0.015151515151515152,0,0,0,1.0,1,-334852.53551269823,-558087.5591878304,4,0,111.38618636302282,67.66985817996506,1,1
из который,4846,5920,226,0.7391304347826086,0,29.66903470848609,29.663732105184394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5135815686709675,18.153939493501344,12.400660650601868,0.038175675675675674,-4.574015747604243,1.3795577137969567e-06,0,0.047619047619047616,0,0,0.024390243902439025,0,0,0,1.0,1,-183159.58724409115,-305265.9787401519,4,1.819073775306872,133.67470149230007,27.672411826182543,1,1
на большой,8849,722,20,0.5217391304347826,1,5.650931799399361,0.9324547925346149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1821371099653681,9.825993299740093,2.5012737155979416,0.0022601423889705053,-7.902525858443207,1.3795577137969567e-06,0,0.029850746268656716,0,0,0.015151515151515152,0,0,0,1.0,1,0.0,0.0,4,0.9692254230440336,119.0666400650331,17.513482358440918,0,0
для решение,9362,746,103,0.7391304347826086,1,13.521728207849856,13.010970890665693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.418230413439465,16.7912314678059,9.199536381980504,0.011001922666096987,-5.6167094217615565,1.3795577137969567e-06,0,0,0,0,0.013513513513513514,0,0,0,1.0,1,-120226.30929312305,-200377.18215520508,4,81.65110487458902,134.99120637073653,88.10021585145205,1,1
решение этот,746,3745,25,0.34782608695652173,1,11.465946225641233,6.999831832721655,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.697437122396812,11.985149501946262,4.2291666091850955,0.006675567423230975,-6.488964817004848,1.3795577137969567e-06,0,0.07692307692307693,0,0,0.04,0,0,0,1.0,1,-217594.77706631902,-362657.96177719836,4,28.939632107449274,126.54785300914705,65.89434788026877,1,0
от до,2364,922,97,0.6521739130434783,1,18.00674796530543,17.38130716761766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.011638337803696,18.21146402217795,9.543553868084604,0.04103214890016921,-4.082203922762947,1.3795577137969567e-06,0,0,0,0,0.0005959475566150178,0,0,0,1.0,1,-198200.24486759296,-330333.74144598824,4,173.43421298160214,138.70261320050545,104.52208972961911,1,0
на и,8849,19210,41,0.4782608695652174,1,13.133741185234081,9.854542537780768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.5159538519696287,8.199150157266539,-30.221190329418043,0.0021343050494534097,-8.41862396832436,1.3795577137969567e-06,0,0.0004763038818766373,0,0,0.00023820867079561695,0,0,0,1.0,1,0.0,0.0,4,87.61755500063782,128.549204819281,81.5968083245898,1,0
после что,1052,5019,97,0.5652173913043478,1,24.035094919943347,23.409654122255574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.735172378358755,16.934998062733012,9.109274763768386,0.01932655907551305,-4.967805615663626,1.3795577137969567e-06,0,0,0,0,0.0024813895781637717,0,0,0,1.0,1,-148823.34911675478,-248038.9151945913,4,1.8730956014899072,124.03918016094379,26.07716528242079,1,1
что такой,5019,3323,53,0.5652173913043478,1,13.132577636670076,10.711934436197158,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2038284023350974,12.659669311461496,4.119655871410423,0.010559872484558678,-6.298257142326026,1.3795577137969567e-06,0,0,0,0,0.0005959475566150178,0,0,0,1.0,1,-112607.02878648069,-187678.38131080114,4,0.6142728772376208,124.95282405878194,13.690662112990715,0,0
на этот,8849,3745,110,0.6086956521739131,1,23.71597803732903,23.31424159812205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266673752143723,14.829393179193042,6.129061588104422,0.012430783139337778,-5.839089238488651,1.3795577137969567e-06,0,0.07692307692307693,0,0,0.04,0,0,0,1.0,1,-369485.62872470904,-615809.3812078483,4,0.3749407185070871,122.97620003190762,9.453737053334853,0,1
для это,9362,5940,252,0.782608695652174,1,26.826743390400267,26.824834277079855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7157944143232728,17.670354261323105,11.041753907264857,0.026917325357829525,-4.924152684229592,1.3795577137969567e-06,0,0,0,0,0.04,0,0,0,1.0,1,-89551.28387677067,-149252.13979461777,4,1.9040164716613894,133.01928075159495,28.169307730924437,1,1
знать о,170,1679,22,0.4782608695652174,0,7.047373318906092,2.4146273543064503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.804016923786004,14.722880161060598,4.606464319607415,0.013103037522334724,-5.3930978907668985,1.3795577137969567e-06,0,0.047619047619047616,0,0,0.024390243902439025,0,0,0,1.0,1,0.0,0.0,4,0.11817035658567249,94.89014819347582,2.879366169435772,0,1
о это,1679,5940,65,0.4782608695652174,0,20.821784805858908,19.097782822926213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.240096838626735,14.284832464683644,6.355702563107869,0.010942760942760943,-5.873018126870051,1.3795577137969567e-06,0,0.07692307692307693,0,0,0.04,0,0,0,1.0,1,-403920.81854693685,-673201.3642448947,4,0.18868049746693888,114.9773864123651,5.096638582896729,0,0
видеть что,135,5019,46,0.5217391304347826,1,12.997143138618531,10.092139070660373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.620924884470112,16.668048796584138,6.6445100857338835,0.009165172345088663,-5.807914865802607,1.3795577137969567e-06,0,0,0,0,0.015151515151515152,0,0,0,1.0,1,-87176.44319937564,-145294.0719989594,4,0.4780002064578532,120.87634247146221,11.13536674387036,0,1
к тот,5170,4147,89,0.6521739130434783,1,16.52165534961014,15.706548199116948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5892952900815778,14.540762152014373,6.298750822158615,0.017214700193423596,-5.709916347003098,1.3795577137969567e-06,0,0,0,0,0.0005959475566150178,0,0,0,1.0,1,0.0,0.0,4,0.4936971978628133,125.53759996273405,11.808329815322029,0,1
в данный,27729,718,58,0.4782608695652174,1,18.579438749843334,16.47037530866026,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0783957490462956,12.79435773930144,4.009284793312853,0.002091672977748927,-7.9380078994024865,1.3795577137969567e-06,0,0,0,0,0.1,0,0,0,1.0,1,0.0,0.0,4,3.7583937801882183,123.75243135835349,35.408710163142445,1,1
и этот,19210,3745,65,0.43478260869565216,0,23.512309341143535,21.78830735821084,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6105893326471098,11.4341462934098,-4.247864972620803,0.00338365434669443,-7.464152998571274,1.3795577137969567e-06,0,0.07692307692307693,0,0,0.04,0,0,0,1.0,1,0.0,0.0,4,0.350461156351956,114.04442231483158,8.380790209814327,0,0
же самый,1975,841,81,0.5652173913043478,0,20.07054318057125,19.015441897118702,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.143613830901091,17.82331383667034,8.745398791814011,0.0410126582278481,-4.119581615752673,1.3795577137969567e-06,0,0.18181818181818182,0,0,0.1,0,0,0,1.0,1,-851677.2379307902,-836636.5803072884,4,0.23230690032068455,110.82534744614023,5.879167376260446,0,0
на это,8849,5940,106,0.6956521739130435,1,16.70643245633682,16.245399517684277,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5477372808402479,14.003578189966646,3.252469703910474,0.011978754661543677,-6.124316428821761,1.3795577137969567e-06,0,0.07692307692307693,0,0,0.04,0,0,0,1.0,1,0.0,0.0,4,0.44428474290595665,124.53996095932281,10.858101167018248,0,0
вести себя,123,875,53,0.30434782608695654,0,27.38137918817681,24.96073598770389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.479629498727707,19.935470407854105,7.259715293428879,0.060571428571428575,-3.2349755507740614,1.3795577137969567e-06,0,0.010526315789473684,0,0,0.005291005291005291,0,0,0,1.0,1,0.0,0.0,4,0.4617270709337759,117.71085541346591,10.598535602069694,0,1
в наш,27729,809,232,0.5217391304347826,1,65.5508088730326,65.54661542005815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9062398904393696,18.622201880694515,13.199757183278093,0.008366691910995708,-5.942615615830285,1.3795577137969567e-06,0,0,0,0,0.00023820867079561695,0,0,0,1.0,1,-390562.3397365898,-650937.2328943164,4,2.7546076506684725,136.04834873989606,34.24576282388205,1,0
в полный,27729,331,27,0.391304347826087,1,11.002103817613236,6.66538332401148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0924548830980256,10.602229887424963,2.75935069809722,0.0009737098344693282,-9.021339886343792,1.3795577137969567e-06,0,0,0,0,0.1,0,0,0,1.0,1,-249853.02960093474,-416421.7160015579,4,1.060188619812452,125.12777129803058,19.35592088747736,1,0
действие который,673,5920,24,0.391304347826087,1,9.779647837878432,5.253789451401813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.1264811018179657,11.296406103260278,3.7770358895184413,0.004054054054054054,-7.101756865300691,1.3795577137969567e-06,0,0.02702702702702703,0,0,0.0136986301369863,0,0,0,1.0,1,-307343.9643328726,-512239.94055478764,4,5.520140864651444,116.66467455914649,38.32569814981126,1,1
в он,27729,3994,128,0.6086956521739131,1,27.59677444343742,27.383527011997987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25536382970219756,13.744636170297802,-2.1907494656285458,0.004616105881928667,-6.953241590706906,1.3795577137969567e-06,0,0.0011911852293031567,0,0,0.0005959475566150178,0,0,0,1.0,1,0.0,0.0,4,0.3758393780188218,124.77451612431537,9.600736403952022,0,0
из предыдущий,4846,329,34,0.30434782608695654,0,17.565413064113425,13.74375238934127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95030313428719,14.12522881678787,5.453744912566275,0.0070160957490713995,-6.2498803060237105,1.3795577137969567e-06,0,0,0,0,0.1,0,0,0,1.0,1,-359788.362625346,-599647.2710422433,3,10.805382118041127,99.49615566974576,38.47624321605839,1,1
запоминать устройство,71,810,50,0.17391304347826086,0,37.98339223448153,35.36165282810293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.299693728721493,20.587406108270944,7.05984767280991,0.06172839506172839,-3.139142019145689,2.7591154275939134e-06,0,0.029850746268656716,0,0,0.015151515151515152,0,0,0,1.414213562373095,1,-914214.7091021925,-906892.2836802244,1,0,58.36673352814901,24.411272356955962,1,0
если один,4026,4721,50,0.43478260869565216,0,18.086391800879642,15.464652394501051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9312107214728302,12.21892310102228,3.3628721395682946,0.010590976488032196,-6.450716388718072,1.3795577137969567e-06,0,0.0011911852293031567,0,0,0.0005959475566150178,0,0,0,1.0,1,0.0,0.0,4,2.1279141255477407,106.8074502539883,24.031694335762733,1,0
быть один,5572,4721,25,0.4782608695652174,1,8.008378771484196,3.5422643785646177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5376373642070827,8.750075015342366,-2.257966807841406,0.004486719310839914,-7.685519721504086,1.3795577137969567e-06,0,0.18181818181818182,0,0,0.1,0,0,0,1.0,1,0.0,0.0,4,0.1618902726263506,104.33523955663225,4.104754806982518,0,0
в разный,27729,699,107,0.6086956521739131,1,23.069178636310966,22.62369200074508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0005731287674857,15.48350710156978,7.759087449602885,0.003858776010674745,-7.05355799756024,1.3795577137969567e-06,0,0.18181818181818182,0,0,0.1,0,0,0,1.0,1,-206710.09062825848,-344516.81771376415,4,4.147076590189697,135.26214119219924,40.35507715749413,1,0
быть такой,5572,3323,20,0.391304347826087,1,8.149706531565359,3.431229524700613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3529592691824836,8.29089692059224,-1.2395763618019984,0.003589375448671931,-7.79685079526716,1.3795577137969567e-06,0,0,0,0,0.1,0,0,0,1.0,1,0.0,0.0,4,0.1454933762425108,101.87394662266216,3.6642619942674393,0,0
более один,1214,4721,40,0.43478260869565216,1,14.469113440703714,11.11309246993827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3388613772511255,12.982717567025851,5.0744040532090615,0.008472781190425757,-6.213104219641907,1.3795577137969567e-06,0,0.0049504950495049506,0,0,0.0024813895781637717,0,0,0,1.0,1,-218584.29401523358,-364307.156692056,3,0,121.5214344510875,84.57724891071767,1,0
быть бы,5572,809,146,0.6521739130434783,1,27.102940236439103,26.99184594847607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.553211880072225,18.93286099783226,11.568382821700364,0.0262024407753051,-4.449742259801812,2.7591154275939134e-06,0,0.18181818181818182,0,0,0.1,0,0,0,1.4129795616857979,1,-441819.3176903658,-736365.5294839429,4,0.4571273154224931,125.59004419440461,11.174695247179297,0,0
в входной,27729,467,24,0.2608695652173913,1,14.005838055214781,9.479979668738164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4259385487532693,9.595863550195581,1.252402880651518,0.000865519852861625,-9.198240389343233,1.3795577137969567e-06,0,0,0,0,0.0005959475566150178,0,0,0,1.0,1,0.0,0.0,2,25.838957238794,102.85414701828638,47.166586557884564,1,0
ровно один,37,4721,27,0.391304347826087,0,11.002103817613236,6.66538332401148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.807920125153964,16.317695129480903,5.1497763769001486,0.005719127303537386,-6.461252054261666,1.3795577137969567e-06,0,0.0011911852293031567,0,0,0.0005959475566150178,0,0,0,1.0,1,-384922.0931277767,-641536.8218796278,2,33.82554402169396,107.40716707188808,52.44045195134271,1,0
из один,4846,4721,103,0.6956521739130435,0,16.233608896251816,15.722851579067653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7064078263513172,15.079408880717754,7.039047079233067,0.021254643004539827,-5.537350355790199,1.3795577137969567e-06,0,0.047619047619047616,0,0,0.024390243902439025,0,0,0,1.0,1,-480410.47869803495,-800684.1311633916,4,2.2396462935819876,129.48875841079183,29.651666171995608,1,0
в противный,27729,170,167,0.5217391304347826,1,47.18528052498467,47.13431250218019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.682568144078125,19.44997672902623,12.419620018231221,0.006022575642828807,-6.384221498703471,1.3795577137969567e-06,0,0,0,0,0.1,0,0,0,1.0,1,-304771.22026569466,-507952.03377615777,4,4.455515207158613,125.0754157195618,38.22895329040797,1,0
на символ,8849,1959,20,0.2608695652173913,1,11.671531712678984,6.953054705814238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.25790954541504774,8.385946644359677,-0.8753974618810412,0.0022601423889705053,-8.077883864438322,1.3795577137969567e-06,0,0.0011911852293031567,0,0,0.0005959475566150178,0,0,0,1.0,1,0.0,0.0,2,2.8187953351411634,70.94873801002066,19.314478646312583,1,0
напомнить что,83,5019,75,0.5217391304347826,1,21.190994247747604,19.9171015270104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.027957784612886,19.485595165604646,8.593894320077558,0.014943215780035863,-5.0880284931065916,1.3795577137969567e-06,0,0,0,0,0.015151515151515152,0,0,0,1.0,1,-329014.3855141022,-548357.3091901703,4,4.257555454119466,116.79621310473448,34.97966197519075,1,1
при выполнение,3967,1417,148,0.6086956521739131,0,31.908770450224516,31.80554087283546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25435939678909,18.67326612804699,11.528082485375105,0.037307789261406606,-4.1850093289813675,1.3795577137969567e-06,0,0,0,0,0.1,0,0,0,1.0,1,0.0,0.0,4,113.22161262817006,124.0673128072701,78.49892185991098,1,1
с не,10637,6836,24,0.21739130434782608,1,15.906187960357778,11.380329573881161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.063415122845683,7.106509878596629,-15.577508285261423,0.002256275265582401,-8.507877209667363,1.3795577137969567e-06,0,0,0,0,0.0024813895781637717,0,0,0,1.0,1,0.0,0.0,4,7.382559211083999,113.43614517300836,40.77781408217348,1,0
не равный,6836,456,20,0.21739130434782608,1,13.255156633631483,8.536679626766736,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.2174641552699197,10.861320345044644,3.510541893091929,0.002925687536571094,-7.510170751151772,1.3795577137969567e-06,0,0.18181818181818182,0,0,0.1,0,0,0,1.0,1,-164853.52368917118,-274755.8728152853,4,13.389277841920526,103.33175719392331,42.319992738965425,1,0
удалить из,136,4846,25,0.34782608695652173,0,11.465946225641233,6.999831832721655,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.781177415296478,14.068889794845926,4.818158842275166,0.005158893933140734,-6.638653116466112,1.3795577137969567e-06,0,0.029850746268656716,0,0,0.015151515151515152,0,0,0,1.0,1,-177717.2440250609,-296195.40670843486,3,5.637590670282327,86.64462768075911,28.0740503293956,1,1
если такой,4026,3323,58,0.6086956521739131,1,12.50478841968258,10.395724978499505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.6519417167376393,13.367903706992784,5.1923458447582655,0.014406358668653751,-5.985351241090005,1.3795577137969567e-06,0,0,0,0,0.0005743825387708214,0,0,0,1.0,1,0.0,0.0,4,2.455768663191165,112.95039971062968,27.031715017291937,1,0
