collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;weirdness;cw;dw;otnosit_chastota;class
влиять на;94;8849;66;0.6086956521739131;2;14.229586822397419;12.555759265649524;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5.845869309645993;17.9346575483629;7.982787917313329;0.007458469883602667;-6.082149041353872;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-87671.20167383294;-77182.32201533826;4;14.324444218830566;137.41884294953533;61.712712602217884;1;1
в время;27729;1514;278;0.782608695652174;2;29.594581994171723;29.5939019583193;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2630463704795507;18.500928515926567;13.199749974528649;0.010025604962313823;-5.716862629850521;1.3795577137969567e-06;0;0.02666666666666667;0;0;0.013513513513513514;0;0;0;1.0;1;-91530.31777459985;-53104.07625841649;4;0.5458265373382405;127.87932077043355;12.901547136228334;0;1
возрастать до;30;922;0;0.0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-237088.26095993648;-283331.6863725451;3;0;90.33332362552468;43.848581662501914;1;1
вообще говорить;135;273;45;0.43478260869565216;2;16.277752620791677;13.299498299333775;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9.78964311458243;20.77334930724178;6.700624616179592;0.16483516483516483;-2.180572245641821;2.7591154275939134e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;0;-35127.85168646806;-34138.33473755346;4;24.11636008954106;118.47321246475418;57.75118435448787;1;1
вот почему;323;135;5;0.13043478260869565;2;4.423032906489652;0.8774883543857603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6.377084899366045;11.02094108914077;2.2091655690240963;0.015479876160990712;-5.517275693209582;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;0;-111914.36692224047;-131605.75420564087;3;0.09482186142676696;73.86862023541661;2.0558815349831323;0;1
вследствие что;16;5019;5;0.08695652173913043;2;5.303489201768059;1.757944649664167;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.496106620351292;10.139962810126017;2.1865238653513646;0.0009962143853357243;-8.975847968006784;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;1;-167822.074535915;-176958.61436422638;3;4.806407430433009;115.7643465084632;36.21863340233563;1;1
делать вывод;282;473;5;0.13043478260869565;2;4.423032906489652;0.8774883543857603;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.764043125372612;9.407899315147336;2.153774555714701;0.010570824524312896;-6.2384047393250786;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;1;-134574.30505238465;-145953.74996490244;4;4.802392052462723;110.50779183327566;34.46206201475612;1;1
для удобство;9362;152;23;0.30434782608695654;2;11.88248530807673;7.300883361637756;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5503961491249116;12.597520061238937;4.386487757466217;0.002456740012817774;-7.692274353905441;1.3795577137969567e-06;0;0;0;0;0.013513513513513514;0;0;0;1.0;1;-151495.0448788242;-143809.79657558753;3;5.585390756668602;112.85231845774548;37.110142282719124;1;1
другой слово;1952;1640;26;0.30434782608695654;2;13.432374696086736;9.029467296127622;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5575850372961986;11.958464473578383;4.232901918582416;0.01331967213114754;-6.1101319166000545;1.3795577137969567e-06;0;0.031746031746031744;0;0;0.016129032258064516;0;0;0;1.0;0;-134673.25674727611;-119896.47031015152;4;5.524190857949062;126.76496370597775;41.931829222548565;1;1
за исключение;1037;734;53;0.4782608695652174;2;16.977762995546495;14.557119795073577;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.6574467791302;17.113287688256598;7.135872864525657;0.05110896817743491;-4.062428042188715;1.3795577137969567e-06;0;0.08333333333333333;0;0;0.043478260869565216;0;0;0;1.0;1;-58480.45168085245;-52114.5593095019;4;2.138638251786206;124.27561851099334;27.853683815355645;1;1
