collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_l;ADJF_l;ADJS_l;COMP_l;VERB_l;INFN_l;PRTF_l;GRND_l;NUMR_l;ADVB_l;NPRO_l;PRED_l;PREP_l;CONJ_l;PRCL_l;INTJ_l;None_l;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;NOUN_r;ADJF_r;ADJS_r;COMP_r;VERB_r;INFN_r;PRTF_r;GRND_r;NUMR_r;ADVB_r;NPRO_r;PRED_r;PREP_r;CONJ_r;PRCL_r;INTJ_r;None_r;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;weirdness;cw;dw;otnosit_chastota
если если;4026;4026;21;0.21739130434782608;0;13.917914465313055;9.239293460176231;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.09058273484048061;8.69405211071704;-0.29695177926541894;0.005216095380029807;-7.582814034142579;2.7591154275939134e-06;0;0.0049504950495049506;0;0;0.0024813895781637717;0;0;0;1.414213562373095;0;-462599.17361757223;-770998.6226959537;2;20.671165791035197;120.14273796518542;57.06312618314251;1
не приводить;6836;299;24;0.43478260869565216;1;8.681468064422228;4.15560967794561;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.08938690107035;12.259311902512662;4.3233970992283375;0.003510825043885313;-7.2157352136419695;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;0;0.0;0.0;4;36.87923896809689;118.79378838365409;62.610479279715946;1
правило для;911;9362;26;0.17391304347826086;1;19.751363961930394;15.348456561971279;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.143894180850526;10.54477361713271;2.7915274622234203;0.0027771843623157445;-7.626130211428719;1.3795577137969567e-06;0;0;0;0;0.013513513513513514;0;0;0;1.0;0;0.0;0.0;4;48.62421953118507;122.25447590635794;68.58113130446543;1
такой что;3323;5019;71;0.30434782608695654;1;36.68071551623686;35.24026275264402;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1.6256550672765804;13.925149306285945;5.695548826186656;0.014146244271767285;-5.8764304773845435;1.3795577137969567e-06;0;0;0;0;0.016129032258064516;0;0;0;1.0;0;-960128.2955318295;-826576.4913266567;4;2.354396103681125;132.52825600254553;31.063521001886674;1
и из;19210;4846;37;0.4782608695652174;0;11.852400581796608;8.26374689097825;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-1.7953324661518475;8.623574265106052;-15.03022963460671;0.0019260801665799063;-8.344655786945053;1.3795577137969567e-06;0;0.00010411244143675169;0;0;5.2058930709563226e-05;0;0;0;1.0;0;0.0;0.0;4;1.208993803417189;124.45104000760661;20.76447130077018;1
более чем;1214;573;21;0.34782608695652173;1;9.631394829538635;4.9527738244018105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.451736143989612;13.236370989547133;4.373162744714085;0.01729818780889621;-5.41100649626273;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;0;-131407.85081585794;-219013.08469309658;4;2.8453877439632502;131.04669066835413;33.44088169453074;1
по правило;3690;911;25;0.30434782608695654;1;12.9157449000834;8.449630507163823;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2.430506601248354;11.718218980797804;4.0724985169754575;0.006775067750677507;-6.52387555132852;1.3795577137969567e-06;0;0;0;0;0.00411522633744856;0;0;0;1.0;1;-312885.25924679433;-521475.43207799055;4;3.8836735728611584;114.598644816227;33.12827223312533;1
в зависимость;27729;270;148;0.6956521739130435;1;23.32596229752688;23.222732720137824;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.840892556319894;18.259799287577792;11.31652643316851;0.005337372425980021;-6.563634315347745;1.3795577137969567e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.0;1;-103305.56946668352;-172175.9491111392;4;23.03190688421592;138.155431294642;70.28654699341027;1
зависимость от;270;2364;170;0.7391304347826086;0;22.317415488684226;22.271878483426082;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.592923775132777;22.41170564740818;12.970870161008644;0.07191201353637902;-2.9536486941188125;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;0;-26519.054230911093;-44198.42371818516;4;22.78526229239107;138.50998164559246;70.33840598802018;1
значение или;3760;3868;35;0.391304347826087;1;14.261986430239379;10.517771025865152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.8027567471265641;11.061322781016496;2.5246708321401243;0.00904860392967942;-6.76780611136779;1.3795577137969567e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.0;0;0.0;0.0;3;0;109.79708394150897;65.41330947275621;1
